id;official;date;author;toaq;is_a_lexeme;audio;class;frame;distribution;generics;noun_classes;slot_tags;tags;examples;target_language;definition_type;definition;notes;gloss;keywords;segmentation;etymology;related;derived;synonyms;antonyms;hypernyms;hyponyms;comments;score;votes
GJLRGOslx;False;2018-09-17T22:15:56.000Z;solpahi;kuepāq;True;[];;;;;;[];[];[];eng;informal;"▯ is a chapter; ▯ is a chapter of book ▯.";['(fork of #n6bXVbhwV)'];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
GqFEFJR4TI;False;2018-09-18T18:27:53.000Z;spreadsheet;mıu hủıtūa;False;[];;;;;;[];[];[];eng;informal;blame;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
0ylnNUmfAg;False;2018-09-18T18:27:58.000Z;spreadsheet;soılūaq;True;[];;;;;;[];[];[];eng;informal;compete;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
nHYTO0e6jl;False;2018-09-18T18:28:01.000Z;spreadsheet;toakūe;True;[];;;;;;[];[];[];eng;informal;dictionary (book);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
4n3MtlkSAW;False;2018-09-18T18:28:02.000Z;spreadsheet;chaocāq;True;[];;;;;;[];[];[];eng;informal;drive (operate vehicle);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
oqZ3twxK5D;False;2018-09-18T18:28:04.000Z;spreadsheet;moegāq;True;[];;;;;;[];[];[];eng;informal;empathy;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-18T21:27:58.000Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:58:27.521Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:58:31.398Z'), ('author', 'seaqtaq')])];0;OrderedDict([('seaqtaq', 1), ('Ilmen', -1)])
O0yQ0LN7zn;False;2018-09-18T18:28:04.000Z;spreadsheet;faosīa;True;[];;;;;;[];[];[];eng;informal;endless;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
q2zLq_70-m;False;2018-09-18T18:28:06.000Z;spreadsheet;taomōe;True;[];;;;;;[];[];[];eng;informal;feel like doing;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-01-18T21:27:52.000Z'), ('author', 'seaqtaq')])];0;OrderedDict([('seaqtaq', 1), ('Ilmen', -1)])
Z8ZiSdPlRU;False;2018-09-18T18:28:09.000Z;spreadsheet;heqmūo;True;[];;;;;;[];[];[];eng;informal;full  (contain complete);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
tO-pRmXOn;False;2018-09-18T18:28:11.000Z;spreadsheet;seoqhīe;True;[];;;;;;[];[];[];eng;informal;grasshopper;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
Fi88zCH1An;False;2018-09-18T18:28:14.000Z;spreadsheet;gıdāıtūe;True;[];;;;;;[];[];[];eng;informal;have the opportunity to;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
RU8ABM1za5;False;2018-09-18T18:28:15.000Z;spreadsheet;pukāo;True;[];;;;;;[];[];[];eng;informal;history;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
r1YhopqIti;False;2018-09-18T18:28:21.000Z;spreadsheet;luaofūo;True;[];;;;;;[];[];[];eng;informal;kiss;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
e2S8yIuU-_;False;2018-09-18T18:28:22.000Z;spreadsheet;fafīa;True;[];;;;;;[];[];[];eng;informal;lead (gidva);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
aisQnrPSNF;False;2018-09-18T18:28:22.000Z;spreadsheet;kaıtōaı;True;[];;;;;;[];[];[];eng;informal;letter, character, lerfu;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
1ntrYuvgb2;False;2018-09-18T18:28:30.000Z;spreadsheet;sımō;True;[];;;;;;[];[];[];eng;informal;monkey;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
L87aYLtBiT;False;2018-09-18T18:28:32.000Z;spreadsheet;fuqcīa;True;[];;;;;;[];[];[];eng;informal;naked;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
aRjUFrH07i;False;2018-09-18T18:28:33.000Z;spreadsheet;juagīq;True;[];;;;;;[];[];[];eng;informal;normal (not strange);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
TM_gThV8W4;False;2018-09-18T18:28:34.000Z;spreadsheet;reıdūo;True;[];;;;;;[];[];[];eng;informal;orbit ⓥ;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
-MVNTN0O5w;False;2018-09-18T18:28:39.000Z;spreadsheet;buamē;True;[];;;;;;[];[];[];eng;informal;population;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
84plZRslTh;False;2018-09-18T18:28:40.000Z;spreadsheet;huıtāojīo;True;[];;;;;;[];[];[];eng;informal;prison;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
QBvbVRiD5;False;2018-09-18T18:28:41.000Z;spreadsheet;duagīkūqsē;True;[];;;;;;[];[];[];eng;informal;proverb;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2018-12-26T23:50:08.000Z'), ('author', 'uakci')])];0;OrderedDict([('uakci', 1), ('Ilmen', -1)])
NNxJZb7cjb;False;2018-09-18T18:28:43.000Z;spreadsheet;tıshā;True;[];;;;;;[];[];[];eng;informal;reach;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
gF_vImynIj;False;2018-09-18T18:28:44.000Z;spreadsheet;juq;True;[];;;;;;[];[];[];eng;informal;receive;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
ZHCLoMiX_W;False;2018-09-18T18:28:44.000Z;spreadsheet;jeıgāı;True;[];;;;;;[];[];[];eng;informal;recognize;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2018-12-30T22:30:01.000Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '+1'), ('date', '2018-12-30T22:51:25.000Z'), ('author', 'uakci')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:56:03.497Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:56:05.513Z'), ('author', 'seaqtaq')]), OrderedDict([('content', '-1, formatting'), ('date', '2019-05-19T00:56:07.547Z'), ('author', 'seaqtaq')])];0;OrderedDict([('seaqtaq', 1), ('uakci', -1)])
LT18puXdmn;False;2018-09-18T18:28:45.000Z;spreadsheet;nuadōa;True;[];;;;;;[];[];[];eng;informal;replace/instead;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
C_cNzWa9ay;False;2018-09-18T18:28:45.000Z;spreadsheet;tıqbō;True;[];;;;;;[];[];[];eng;informal;reptile;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
qkwJy6r8dO;False;2018-09-18T18:28:45.000Z;spreadsheet;chuqjēarīaq;True;[];;;;;;[];[];[];eng;informal;restaurant;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
BEAb1z2QZf;False;2018-09-18T18:28:49.000Z;spreadsheet;poepāq;True;[];;;;;;[];[];[];eng;informal;section;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
HsCqpRnwX;False;2018-09-18T18:28:54.000Z;spreadsheet;suaqsē;True;[];;;;;;[];[];[];eng;informal;song;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1!'), ('date', '2018-09-20T06:53:25.000Z'), ('author', 'uakci')])];0;OrderedDict([('uakci', 1), ('Ilmen', -1)])
Lfoj6HlzTD;False;2018-09-18T18:28:55.000Z;spreadsheet;tıjēaq;True;[];;;;;;[];[];[];eng;informal;spread;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
HeJN2Ov3tC;False;2018-09-18T18:28:59.000Z;spreadsheet;doelē;True;[];;;;;;[];[];[];eng;informal;tende;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
J7qSSDKcnd;False;2018-09-18T18:29:02.000Z;spreadsheet;saofā;True;[];;;;;;[];[];[];eng;informal;travel;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
1QhPMPGub4;False;2018-09-18T18:29:02.000Z;spreadsheet;saqjīeq;True;[];;;;;;[];[];[];eng;informal;triangle;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
oEuH1i-Gxr;False;2018-09-18T18:29:03.000Z;spreadsheet;muıtōa;True;[];;;;;;[];[];[];eng;informal;verb;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
LAbtUUUA9j;False;2018-09-18T18:29:05.000Z;spreadsheet;shuehūı;True;[];;;;;;[];[];[];eng;informal;waste (bad deplete);[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
nORK_Pa1XQ;False;2018-09-18T18:29:06.000Z;spreadsheet;soıtāı;True;[];;;;;;[];[];[];eng;informal;win;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
FN3iVcScG;False;2018-09-18T20:45:21.000Z;Ilmen;tıbūmēo;True;[];;;;;;[];[];[];eng;informal;"▯ misses ▯; ▯ is sad that ▯ is not there.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-06-20T15:07:35.767Z'), ('author', 'uakci')])];1;OrderedDict([('uakci', 1)])
yXBeLlHeW;False;2018-09-24T03:52:58.000Z;fagri;soq;True;[];;;;;;[];[];[];eng;informal;"(fork of official) predicate: ▯, among ▯, is the ▯est;  ▯, among ▯, satisfies property ▯ the most";[];;;;[];[];[];[];[];[];[];"[OrderedDict([('content', 'This is great, because it behaves much more nicely in serial predicates.  +1 ;)'), ('date', '2018-09-24T03:53:41.000Z'), ('author', 'fagri')]), OrderedDict([('content', '+1!'), ('date', '2018-09-24T04:59:19.000Z'), ('author', 'uakci')]), OrderedDict([('content', '+1 ♥'), ('date', '2019-02-12T19:34:48.000Z'), ('author', 'lynn')])]";4;OrderedDict([('fagri', 1), ('uakci', 1), ('lynn', 1), ('akesi', 1)])
w55XRPL8z;False;2018-09-24T11:41:13.000Z;Ilmen;kıedōa;True;[];;;;;;[];[];[];eng;informal;▯ rewards ▯ with action ▯.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
d5jkbbySz;False;2018-09-26T11:23:41.000Z;Ilmen;chıtūafūı;True;[];;;;;;[];[];[];eng;informal;▯ is naive.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
ypIf3LarK;False;2018-09-26T12:26:28.000Z;Ilmen;burūaq;True;[];;;;;;[];[];[];eng;informal;▯ denies ▯.;[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-06-20T12:44:59.571Z'), ('author', 'uakci')])];2;OrderedDict([('uakci', 1), ('Ilmen', 1)])
ybPjQZFnT;False;2018-09-30T20:03:44.000Z;Ilmen;porōı;True;[];;;;;;[];[];[];eng;informal;"▯ is what satisfies the property ▯, together with the other things/persons related to it; ▯ is ▯ and co.";[];;;;[];[];[];[];[];[];[];[OrderedDict([('content', '+1'), ('date', '2019-02-02T22:36:35.000Z'), ('author', 'lynn')])];0;OrderedDict([('lynn', 1), ('Ilmen', -1)])
LelHgNhK6;False;2018-10-01T19:01:04.000Z;Ilmen;choaqhīo;True;[];;;;;;[];[];[];eng;informal;▯ welcomes ▯.;[];;;;[];[];[];[];[];[];[];[];1;OrderedDict([('uakci', 1)])
lbGOzrJ7o;False;2018-10-02T21:54:11.000Z;Ilmen;shıukūnē;True;[];;;;;;[];[];[];eng;informal;▯ is a raccoon.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
6gRfVhxmS;False;2018-10-05T19:34:10.000Z;sheireq;kanādā;True;[];;;;;;[];[];[];eng;informal;"predicate: 'Canadian'; ▯ is Canadian/pertains to Canada.";[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
SvY6wr879;False;2018-10-05T21:01:03.000Z;lynn;farāqsē;True;[];;;;;;[];[];[];eng;informal;▯ is French / is of France, its languages or people.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
tTJBZgw7t;False;2018-10-05T21:02:30.000Z;lynn;nıhōq;True;[];;;;;;[];[];[];eng;informal;▯ is Japanese / is of Japan, its languages or people.;[];;;;[];[];[];[];[];[];[];[];0;OrderedDict()
